n,N,lp,rp,sp,e
12,173,0.333333333333333,0.166666666666667,0.5,2e-06
12,163,0.333333333333333,0.166666666666667,0.5,4e-06
12,157,0.333333333333333,0.166666666666667,0.5,6e-06
12,153,0.333333333333333,0.166666666666667,0.5,8e-06
12,149,0.333333333333333,0.166666666666667,0.5,1e-05
12,146,0.333333333333333,0.166666666666667,0.5,1.2e-05
12,144,0.333333333333333,0.166666666666667,0.5,1.4e-05
12,142,0.333333333333333,0.166666666666667,0.5,1.6e-05
12,140,0.333333333333333,0.166666666666667,0.5,1.8e-05
12,138,0.333333333333333,0.166666666666667,0.5,2e-05
12,137,0.333333333333333,0.166666666666667,0.5,2.2e-05
12,136,0.333333333333333,0.166666666666667,0.5,2.4e-05
12,135,0.333333333333333,0.166666666666667,0.5,2.6e-05
12,133,0.333333333333333,0.166666666666667,0.5,2.8e-05
12,132,0.333333333333333,0.166666666666667,0.5,3e-05
12,131,0.333333333333333,0.166666666666667,0.5,3.2e-05
12,130,0.333333333333333,0.166666666666667,0.5,3.4e-05
12,130,0.333333333333333,0.166666666666667,0.5,3.6e-05
12,129,0.333333333333333,0.166666666666667,0.5,3.8e-05
12,128,0.333333333333333,0.166666666666667,0.5,4e-05
12,127,0.333333333333333,0.166666666666667,0.5,4.2e-05
12,126,0.333333333333333,0.166666666666667,0.5,4.4e-05
12,126,0.333333333333333,0.166666666666667,0.5,4.6e-05
12,125,0.333333333333333,0.166666666666667,0.5,4.8e-05
12,125,0.333333333333333,0.166666666666667,0.5,5e-05
12,124,0.333333333333333,0.166666666666667,0.5,5.2e-05
12,123,0.333333333333333,0.166666666666667,0.5,5.4e-05
12,123,0.333333333333333,0.166666666666667,0.5,5.6e-05
12,122,0.333333333333333,0.166666666666667,0.5,5.8e-05
12,121,0.333333333333333,0.166666666666667,0.5,6e-05
12,121,0.333333333333333,0.166666666666667,0.5,6.2e-05
12,120,0.333333333333333,0.166666666666667,0.5,6.4e-05
12,120,0.333333333333333,0.166666666666667,0.5,6.6e-05
12,120,0.333333333333333,0.166666666666667,0.5,6.8e-05
12,119,0.333333333333333,0.166666666666667,0.5,7e-05
12,119,0.333333333333333,0.166666666666667,0.5,7.2e-05
12,119,0.333333333333333,0.166666666666667,0.5,7.4e-05
12,118,0.333333333333333,0.166666666666667,0.5,7.6e-05
12,118,0.333333333333333,0.166666666666667,0.5,7.8e-05
12,117,0.333333333333333,0.166666666666667,0.5,8e-05
12,117,0.333333333333333,0.166666666666667,0.5,8.2e-05
12,117,0.333333333333333,0.166666666666667,0.5,8.4e-05
12,116,0.333333333333333,0.166666666666667,0.5,8.6e-05
12,116,0.333333333333333,0.166666666666667,0.5,8.8e-05
12,115,0.333333333333333,0.166666666666667,0.5,9e-05
12,115,0.333333333333333,0.166666666666667,0.5,9.2e-05
12,115,0.333333333333333,0.166666666666667,0.5,9.4e-05
12,114,0.333333333333333,0.166666666666667,0.5,9.6e-05
12,114,0.333333333333333,0.166666666666667,0.5,9.8e-05
12,114,0.333333333333333,0.166666666666667,0.5,0.0001
