n,N,lp,rp,sp,e
15,252,0.25,0.25,0.5,2e-06
15,236,0.25,0.25,0.5,4e-06
15,227,0.25,0.25,0.5,6e-06
15,220,0.25,0.25,0.5,8e-06
15,215,0.25,0.25,0.5,1e-05
15,211,0.25,0.25,0.5,1.2e-05
15,208,0.25,0.25,0.5,1.4e-05
15,205,0.25,0.25,0.5,1.6e-05
15,202,0.25,0.25,0.5,1.8e-05
15,200,0.25,0.25,0.5,2e-05
15,198,0.25,0.25,0.5,2.2e-05
15,196,0.25,0.25,0.5,2.4e-05
15,194,0.25,0.25,0.5,2.6e-05
15,192,0.25,0.25,0.5,2.8e-05
15,191,0.25,0.25,0.5,3e-05
15,189,0.25,0.25,0.5,3.2e-05
15,188,0.25,0.25,0.5,3.4e-05
15,186,0.25,0.25,0.5,3.6e-05
15,185,0.25,0.25,0.5,3.8e-05
15,184,0.25,0.25,0.5,4e-05
15,183,0.25,0.25,0.5,4.2e-05
15,182,0.25,0.25,0.5,4.4e-05
15,181,0.25,0.25,0.5,4.6e-05
15,180,0.25,0.25,0.5,4.8e-05
15,179,0.25,0.25,0.5,5e-05
15,178,0.25,0.25,0.5,5.2e-05
15,177,0.25,0.25,0.5,5.4e-05
15,176,0.25,0.25,0.5,5.6e-05
15,176,0.25,0.25,0.5,5.8e-05
15,175,0.25,0.25,0.5,6e-05
15,174,0.25,0.25,0.5,6.2e-05
15,173,0.25,0.25,0.5,6.4e-05
15,173,0.25,0.25,0.5,6.6e-05
15,172,0.25,0.25,0.5,6.8e-05
15,171,0.25,0.25,0.5,7e-05
15,171,0.25,0.25,0.5,7.2e-05
15,170,0.25,0.25,0.5,7.4e-05
15,170,0.25,0.25,0.5,7.6e-05
15,169,0.25,0.25,0.5,7.8e-05
15,168,0.25,0.25,0.5,8e-05
15,168,0.25,0.25,0.5,8.2e-05
15,167,0.25,0.25,0.5,8.4e-05
15,167,0.25,0.25,0.5,8.6e-05
15,166,0.25,0.25,0.5,8.8e-05
15,166,0.25,0.25,0.5,9e-05
15,165,0.25,0.25,0.5,9.2e-05
15,165,0.25,0.25,0.5,9.4e-05
15,164,0.25,0.25,0.5,9.6e-05
15,164,0.25,0.25,0.5,9.8e-05
15,163,0.25,0.25,0.5,0.0001
